id,value
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8+ HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">2♣</span> ("Stayman"),
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8+ HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">2♣</span> ("Stayman").3- cards in <span class="red heart">♥</span> or ♠: <span class="bid">2<span class="red diamond">♦</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8+ HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">2♣</span> ("Stayman").3- cards in <span class="red heart">♥</span> or ♠: <span class="bid">2<span class="red diamond">♦</span>.8-9 HCP: <span class="bid">2NT</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8+ HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">2♣</span> ("Stayman").3- cards in <span class="red heart">♥</span> or ♠: <span class="bid">2<span class="red diamond">♦</span>.10-11 HCP: <span class="bid">3NT</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8+ HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">2♣</span> ("Stayman").3- cards in <span class="red heart">♥</span> or ♠: <span class="bid">2<span class="red diamond">♦</span>.12+ HCP: <span class="bid">4♣</span> ("Gerber"),
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8+ HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">2♣</span> ("Stayman").4 cards in <span class="red heart">♥</span>: <span class="bid">2<span class="red heart">♥</span></span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8+ HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">2♣</span> ("Stayman").4 cards in ♠: <span class="bid">2♠</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in hearts: <span class="bid">2<span class="red diamond">♦</span></span> ("Jacoby transfer"),
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in hearts: <span class="bid">2<span class="red diamond">♦</span></span> ("Jacoby transfer").<span class="bid">2<span class="red heart">♥</span></span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in hearts: <span class="bid">2<span class="red diamond">♦</span></span> ("Jacoby transfer").<span class="bid">2<span class="red heart">♥</span></span>.0-7 HCP: <span class="bid">Pass</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in hearts: <span class="bid">2<span class="red diamond">♦</span></span> ("Jacoby transfer").<span class="bid">2<span class="red heart">♥</span></span>. : <span class="bid">2NT</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in hearts: <span class="bid">2<span class="red diamond">♦</span></span> ("Jacoby transfer").<span class="bid">2<span class="red heart">♥</span></span>. : <span class="bid">3 c/d</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in hearts: <span class="bid">2<span class="red diamond">♦</span></span> ("Jacoby transfer").<span class="bid">2<span class="red heart">♥</span></span>. : <span class="bid">3 h/s</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in hearts: <span class="bid">2<span class="red diamond">♦</span></span> ("Jacoby transfer").<span class="bid">2<span class="red heart">♥</span></span>.10+ HCP: <span class="bid">3 NT</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in hearts: <span class="bid">2<span class="red diamond">♦</span></span> ("Jacoby transfer").<span class="bid">2<span class="red heart">♥</span></span>.14+ HCP, 6+ cards: <span class="bid">4 h/s</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in spades: <span class="bid">2<span class="red heart">♥</span></span> ("Jacoby transfer"),
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in spades: <span class="bid">2<span class="red heart">♥</span></span> ("Jacoby transfer").<span class="bid">2♠</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.5 cards in spades: <span class="bid">2<span class="red heart">♥</span></span> ("Jacoby transfer").<span class="bid">2♠</span>.above,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8-9 HCP: <span class="bid">2NT</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8-9 HCP: <span class="bid">2NT</span>.15 HCP: <span class="bid">Pass</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8-9 HCP: <span class="bid">2NT</span>.17 HCP: <span class="bid">3NT</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8-11 HCP & 6 <span class="red heart">♥</span>: (Texas) <span class="bid">4<span class="red diamond">♦</span></span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8-11 HCP & 6 <span class="red heart">♥</span>: (Texas) <span class="bid">4<span class="red diamond">♦</span></span>.<span class="bid">4<span class="red heart">♥</span></span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8-11 HCP & 6 ♠: (Texas) <span class="bid">4 <span class="red heart">♥</span></span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.8-11 HCP & 6 ♠: (Texas) <span class="bid">4 <span class="red heart">♥</span></span>.<span class="bid">4♠</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.10-11 HCP: <span class="bid">3NT</span>,
Bid.15-17 HCP and 2+ cards in every suit:<br/> <span class="bid">1NT</span>.12+ HCP: <span class="bid">4♣</span> ("Gerber"),
Bid.13-21 HCP and 4- cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♣ or 1<span class="red diamond">♦</span></span>,
Bid.13-21 HCP and 4- cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♣ or 1<span class="red diamond">♦</span></span>.6-16 HCP & 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">1♠/<span class="red heart">♥</span></span>,
Bid.13-21 HCP and 4- cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♣ or 1<span class="red diamond">♦</span></span>.6-9 HCP & not 4 <span class="red heart">♥</span> or <span class="spade">♠</span>: <span class="bid">1NT</span>,
Bid.13-21 HCP and 4- cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♣ or 1<span class="red diamond">♦</span></span>.10-17 HCP: <span class="bid">2, best suit</span>,
Bid.13-21 HCP and 4- cards in ♠ or <span class="red heart">♥</span>:<br/> <span class="bid">1♣ or 1<span class="red diamond">♦</span></span>.18+ HCP: <span class="bid">2, best suit</span>,
Bid.5-11 HCP and 7 cards ♣/<span class="red diamond">♦</span>/<span class="red heart">♥</span>/♠:<br/> Weak <span class="bid">3 ♣/<span class="red diamond">♦</span>/<span class="red heart">♥</span>/♠<span class="red diamond">♦</span></span>*,
Bid.5-11 HCP and 6 cards ♣/<span class="red diamond">♦</span>/<span class="red heart">♥</span>/♠:<br/> Weak <span class="bid">2 ♣/<span class="red diamond">♦</span>/<span class="red heart">♥</span>/♠<span class="red diamond">♦</span></span>*,
Bid.0-5 HCP: <span class="bid">Pass</span>,
